Zeit,B101 [mm],B102 [mm],Real [mm]
2025-06-15 11:41:34,300.0,20,20.0
2025-06-15 11:41:35,296.7,23.3,20.0
2025-06-15 11:41:36,293.4,26.6,20.0
2025-06-15 11:41:37,290.1,29.9,20.0
2025-06-15 11:41:38,286.8,33.2,20.0
2025-06-15 11:41:39,283.5,36.5,20.0
2025-06-15 11:41:40,280.2,39.8,20.0
2025-06-15 11:41:41,276.9,43.1,20.0
2025-06-15 11:41:42,273.6,46.4,20.0
2025-06-15 11:41:43,270.3,49.7,20.0
2025-06-15 11:41:44,267.0,53.0,20.0
2025-06-15 11:41:45,263.7,56.3,20.0
2025-06-15 11:41:46,260.4,59.6,20.0
2025-06-15 11:41:47,257.1,62.9,20.0
2025-06-15 11:41:48,253.8,66.2,20.0
2025-06-15 11:41:49,250.5,69.5,20.0
2025-06-15 11:41:50,247.2,72.8,20.0
2025-06-15 11:41:51,243.9,76.1,20.0
2025-06-15 11:41:52,240.6,79.4,20.0
2025-06-15 11:41:53,237.3,82.7,20.0
2025-06-15 11:41:54,234.0,86.0,20.0
2025-06-15 11:41:55,230.7,89.3,20.0
2025-06-15 11:41:56,227.4,92.6,20.0
2025-06-15 11:41:57,224.1,95.9,20.0
2025-06-15 11:41:58,220.8,99.2,20.0
2025-06-15 11:41:59,217.5,102.5,20.0
2025-06-15 11:42:00,214.2,105.8,20.0
2025-06-15 11:42:01,210.9,109.1,20.0
2025-06-15 11:42:02,207.6,112.4,20.0
2025-06-15 11:42:03,204.3,115.7,20.0
2025-06-15 11:42:04,201.0,119.0,20.0
2025-06-15 11:42:06,197.7,122.3,20.0
2025-06-15 11:42:07,194.4,125.6,20.0
2025-06-15 11:42:08,191.1,128.9,20.0
2025-06-15 11:42:09,187.8,132.2,20.0
2025-06-15 11:42:10,184.5,135.5,20.0
2025-06-15 11:42:11,181.2,138.8,20.0
2025-06-15 11:42:12,177.9,142.1,20.0
2025-06-15 11:42:13,178.7,141.3,20.0
2025-06-15 11:42:14,179.5,140.5,20.0
2025-06-15 11:42:15,180.3,139.7,20.0
2025-06-15 11:42:16,181.1,138.9,20.0
2025-06-15 11:42:17,181.9,138.1,20.0
2025-06-15 11:42:18,182.7,137.3,20.0
2025-06-15 11:42:19,183.5,136.5,20.0
2025-06-15 11:42:20,184.3,135.7,20.0
2025-06-15 11:42:21,185.1,134.9,20.0
2025-06-15 11:42:22,185.9,134.1,20.0
2025-06-15 11:42:23,186.7,133.3,20.0
2025-06-15 11:42:24,187.5,132.5,20.0
2025-06-15 11:42:25,188.3,131.7,20.0
2025-06-15 11:42:26,189.1,130.9,20.0
2025-06-15 11:42:27,189.9,130.1,20.0
2025-06-15 11:42:28,190.7,129.3,20.0
2025-06-15 11:42:29,191.5,128.5,20.0
2025-06-15 11:42:30,192.3,127.7,20.0
2025-06-15 11:42:31,193.1,126.9,20.0
2025-06-15 11:42:32,193.9,126.1,20.0
2025-06-15 11:42:33,194.7,125.3,20.0
2025-06-15 11:42:34,195.5,124.5,20.0
2025-06-15 11:42:35,196.3,123.7,20.0
2025-06-15 11:42:36,197.1,122.9,20.0
2025-06-15 11:42:37,197.9,122.1,20.0
2025-06-15 11:42:38,198.7,121.3,20.0
2025-06-15 11:42:39,199.5,120.5,20.0
2025-06-15 11:42:40,200.3,119.7,20.0
2025-06-15 11:42:41,201.1,118.9,20.0
2025-06-15 11:42:42,201.9,118.1,20.0
2025-06-15 11:42:43,202.7,117.3,20.0
2025-06-15 11:42:44,203.5,116.5,20.0
2025-06-15 11:42:45,204.3,115.7,20.0
2025-06-15 11:42:46,205.1,114.9,20.0
2025-06-15 11:42:47,205.9,114.1,20.0
2025-06-15 11:42:48,206.7,113.3,20.0
2025-06-15 11:42:49,207.5,112.5,20.0
2025-06-15 11:42:50,208.3,111.7,20.0
2025-06-15 11:42:51,209.1,110.9,20.0
2025-06-15 11:42:52,209.9,110.1,20.0
2025-06-15 11:42:53,210.7,109.3,20.0
2025-06-15 11:42:54,211.5,108.5,20.0
2025-06-15 11:42:55,212.3,107.7,20.0
2025-06-15 11:42:56,213.1,106.9,20.0
